index,destination,lat,lon,dt,temp,pressure,description,Link,House,Description,Score
1,Mont Saint Michel,48.6359541,-1.511459954959514,1650540192,289.54,1008,overcast clouds,https://www.booking.com#basiclayout,Hôtel Vert,"Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...","8,1"
2,St Malo,48.649518,-2.0260409,1650540192,289.44,1008,few clouds,https://www.booking.com#basiclayout,Hotel Eden,"À 100 mètres de la plage, le charmant établissement Hotel Eden bénéficie d'un accès direct à la vieille ville et au palais des congrès. Il propose des chambres confortables. ","7,3"
3,Bayeux,49.2764624,-0.7024738,1650540192,290.29,1009,overcast clouds,https://www.booking.com#basiclayout,ibis budget Bayeux,Établissement Voyage Durable,"8,2"
4,Le Havre,49.4938975,0.1079732,1650540192,291.66,1009,overcast clouds,https://www.booking.com#basiclayout,Holiday Inn Express - Le Havre Centre,"L’Holiday Inn Express - Le Havre Centre, situé dans le centre-ville du Havre et à 600 mètres de la gare SNCF, vous accueille pour un séjour professionnel et de loisirs. ","8,2"
5,Rouen,49.4404591,1.0939658,1650540193,291.36,1008,clear sky,https://www.booking.com#basiclayout,"Radisson Blu Hotel, Rouen Centre","Situé à Rouen, le Radisson Blu Hotel, Rouen Centre dispose d'un restaurant servant des plats locaux de haute qualité, d'une salle de sport, d'un bar et d'un salon commun. ","8,9"
6,Paris,48.8588897,2.3200410217200766,1650540193,291.02,1007,clear sky,https://www.booking.com#basiclayout,L'Empire Paris,Établissement Voyage Durable,"8,2"
7,Amiens,49.8941708,2.2956951,1650540193,290.91,1010,few clouds,https://www.booking.com#basiclayout,"Holiday Inn Express Amiens, an IHG Hotel","Rénové en avril 2015, le Holiday Inn Express Amiens comprend des chambres confortables avec une connexion Wi-Fi gratuite. ","8,1"
8,Lille,50.6365654,3.0635282,1650540193,290.73,1009,clear sky,https://www.booking.com#basiclayout,Hotel Lille Europe,"L'Hotel Lille Europe est un établissement 3 étoiles situé au cœur du quartier des affaires international, à seulement 250 mètres de la gare de Lille-Flandres et à 17 minutes de route du stade...","8,1"
9,Strasbourg,48.584614,7.7507127,1650540193,290.07,1008,clear sky,https://www.booking.com#basiclayout,City Residence Access Strasbourg,"Situé à Strasbourg, à moins de 900 mètres du marché de Noël de la ville, le City Residence Access Strasbourg propose des hébergements avec une télévision et une kitchenette. ","7,1"
10,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,1650540193,286.29,1007,clear sky,https://www.booking.com#basiclayout,Les Chambres du Haut-Koenigsbourg,"Situé à Orschwiller, en Alsace, l'établissement Les Chambres du Haut-Koenigsbourg propose des hébergements avec connexion Wi-Fi et parking privé gratuits. ","8,8"
11,Colmar,48.0777517,7.3579641,1650540193,289.57,1007,clear sky,https://www.booking.com#basiclayout,Le Parc - Standing apartments in front of the Champ de Mars,"Offrant une vue sur la ville et doté d'une connexion Wi-Fi gratuite, l'établissement Le Parc - Standing apartments in front of the Champ de Mars propose des hébergements idéalement situés dans le...","9,2"
12,Eguisheim,48.0447968,7.3079618,1650540193,289.48,1007,clear sky,https://www.booking.com#basiclayout,James Vignoble Hôtel - Eguisheim,Le James Vignoble Hôtel - Eguisheim vous accueille en plein cœur du vignoble d'Eguisheim. Il offre une vue spectaculaire sur la Forêt-Noire. ,"8,8"
13,Besancon,47.2380222,6.0243622,1650540193,290.61,1005,overcast clouds,https://www.booking.com#basiclayout,Hôtel AKENA BESANCON,"Situé à Besançon, à 7 km du parc Micropolis, l'Hôtel AKENA BESANCON propose un restaurant, un parking privé gratuit, un bar et une terrasse. ","8,7"
14,Dijon,47.3215806,5.0414701,1650540193,289.95,1005,clear sky,https://www.booking.com#basiclayout,Hôtel Restaurant initial by balladins Dijon Nord,"Situé à 12 minutes en voiture du centre-ville de Dijon, l'Hôtel Balladins Dijon Nord possède des chambres climatisées avec connexion Wi-Fi gratuite, des salles de réunion et un restaurant. ","7,6"
15,Annecy,45.8992348,6.1288847,1650540194,289.55,1004,clear sky,https://www.booking.com#basiclayout,Best Western Hotel International,"Doté d'une salle de sport avec un hammam et un jacuzzi, le Best Western Hotel International est situé à l'entrée d'Annecy, à 2 km du lac d'Annecy et du centre-ville. ","8,1"
16,Grenoble,45.1875602,5.7357819,1650540194,289.32,1004,overcast clouds,https://www.booking.com#basiclayout,Esprit Bistrot / Rent4night Grenoble,Hébergement géré par un particulier,"8,2"
17,Lyon,45.7578137,4.8320114,1650540194,291.51,1004,clear sky,https://www.booking.com#basiclayout,MEININGER Hotel Lyon Centre Berthelot,"Installé à Lyon, le MEININGER Hotel Lyon Centre Berthelot propose un bar, un parking privé, un salon commun et une terrasse. ","8,4"
18,Gorges du Verdon,43.7496562,6.3285616,1650540194,285.81,1001,broken clouds,https://www.booking.com#basiclayout,Hotel Le Panoramic,"Installé à 700 mètres du village de la Palud-sur-Verdon, l’Hotel Le Panoramic vous propose des chambres au sein d’un domaine de 4 hectares, au cœur du parc naturel régional du Verdon. ","7,8"
